MFP ID,Name,Brand,Verified,Serving,Calories,Fat,Carbohydrates,Protein,Fiber,Sugar,Sodium,Calcium
98835527176173,Chicken Breast,Eating Right,True,oz,130.0,3.0,0.0,26.0,0.0,0.0,75.0,0.0
133622383087613,Jerk Chicken Breast,Pxd,False,piece (breast),130.0,9.0,0.5,11.5,0.0,0.0,160.0,0.0
243979413016173,Chicken,Thin Baked Chicken Breast,False,oz,46.0,1.0,0.0,8.7,0.0,0.0,20.7,0.0
98002320248109,Chicken Breast Cutlet,Perdue,True,piece,200.0,13.0,13.0,10.0,0.0,1.0,450.0,2.0
27631293361213,Jerked Chicken Breast,Homemade,False,oz,125.0,1.8,0.0,24.0,0.0,0.0,0.0,0.0
27631550246701,Chicken Breast Nuggets,Perdue,True,pieces (76g),200.0,12.0,13.0,9.0,0.0,1.0,400.0,2.0
27917199183789,Chicken Strip Breast,Butterball,True,tenderloin,90.0,1.5,2.0,18.0,0.0,0.0,760.0,0.0
98283628080557,Chicken Breast Filet,Leangredients,True,piece,180.0,3.5,1.0,37.0,0.0,1.0,150.0,2.0
27917031410989,Chicken Breast,Giant,True,g,120.0,3.0,1.0,24.0,0.0,0.0,130.0,0.0
63502768065981,Kurtsa,Chicken Breasts,False,g,100.0,2.5,0.0,20.0,0.0,1.0,200.0,0.0
98008896917357,Fresh Chicken Breast,Harvestland,True,oz,120.0,1.0,0.0,26.0,0.0,0.0,75.0,2.0
98002349649709,Chicken Breast,Stop & Shop,True,oz,120.0,3.0,0.0,24.0,0.0,0.0,130.0,2.0
98002337050093,Spicy Chicken Breast,Schwan's spicy chicken,True,oz,140.0,4.5,10.0,16.0,1.0,0.0,240.0,0.0
62826710044653,Subway,Chicken Breast on Flatbread,True,sandwich,320.0,7.0,47.0,22.0,3.0,8.0,610.0,10.0
98824785604525,Chicken Breast,Hill country,True,oz,120.0,2.5,0.0,22.0,0.0,0.0,410.0,2.0
102288445099517,Jr Grilled Chicken Breast,Jr Grilled Chicken Breast,False,whole breast,200.0,9.0,0.0,36.0,0.0,0.0,500.0,1.0
203690605407677,"Chicken Breast, Barbeque",Generic,False,Piece,100.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
